ifr_block,Ret_Avg_20,Samples,IFR50_Avg,IFR9_Avg,IFR2_Avg,WR_20,fwd_ret_5,fwd_ret_60
55,0.0047850734687859215,1277,59.129770368584545,60.22425663457128,56.82538704806894,0.4964761158966327,-0.004340451062424475,0.02982847362211119
56,-0.1620992307974923,904,60.864455575233116,62.158668820618495,58.33910874217192,0.4314159292035398,-0.02146386795546111,-0.262214400723916
57,-0.018461175934805008,467,62.81237444018623,66.1828774853694,65.6191658132851,0.4732334047109208,-0.011223766826387956,-0.21775648940414782
58,-0.2712721959619792,209,65.48517472598014,68.85467289260728,68.98182745001344,0.3923444976076555,-0.03959638157623234,-0.35186570529876415
59,-0.48514868058174004,78,67.27930798929643,72.97643668562307,68.18542425560467,0.34615384615384615,-0.10806546643515381,-0.45135582816135883
60,-0.40470378204222657,49,66.94155699270979,69.35891400782981,69.71218716734649,0.2857142857142857,-0.12473905496568462,-1.506271869236295
=======
40,0.28341216110263057,77,33.46830446154093,27.266665741689245,32.09050084340121,0.5974025974025974,0.07274389316168538,0.39463222560849537
41,0.17121557515527924,214,35.512756291472016,31.2168267119486,31.628909584336437,0.6121495327102804,0.017645007612626766,0.10031336882609755
42,0.20361520257261304,423,37.63532806452679,36.1047006241753,40.64057424413912,0.5531914893617021,0.0625012465518788,0.1649400618872903
43,0.17266325552716869,882,40.06530083691239,37.344343019167695,37.94534099000869,0.6235827664399093,0.06644455588900758,0.16884843100887661
44,0.0037152990020966827,1699,41.32887609249279,39.926503886156496,41.23133633190549,0.49794480328831475,0.0014432729847567004,0.037003463119892235
45,-0.006859900231016797,2514,42.968727604133015,42.32027310470113,42.90541143303503,0.4889328063241107,0.005883149516447399,0.05149743674032285
46,0.014870805828693996,3888,44.00181300388351,42.47166354677103,44.15828705286488,0.5239197530864198,0.013161393621806006,0.06274939904055629
47,0.00777202579789871,4882,45.950663774676826,45.80849758844883,47.231226096204956,0.49692748873412534,-0.017644390424141166,0.036307234191525296
48,-0.06760609843354692,4752,48.12713835040743,49.297976452765056,49.98305268010139,0.453493265993266,-0.02500113732064383,-0.0606094601558943
49,-0.05907108051178012,4365,49.54971044870023,50.27938711010435,50.50482740923944,0.4577319587628866,-0.0119243540022337,-0.13315892368340615
50,-0.03738455456897193,4070,50.947408287828196,50.869871572178965,50.79020036688794,0.48525798525798525,-0.005287647299428783,-0.1387351879421993
51,-0.013491727700753998,4154,52.472255202123804,52.871031051585554,52.148600032351,0.4971112181030332,-0.003312609399916008,-0.02115136668254275
52,-0.018482001285477306,3312,54.08855905921083,54.58296566427387,54.178115965386205,0.49033816425120774,0.003958515035563165,-0.13201835663496317
53,0.022644404850634618,3062,55.54083866169741,55.50003377841982,53.78656707385014,0.5333115610711953,-0.00047970500816029495,-0.02915442510404862
54,0.0027626583399304573,2656,56.75013935128025,57.44883929138539,56.12354076983077,0.5033885542168675,0.003932845164967377,0.0420407888069434
55,0.02879556235212069,1921,57.80231113280129,58.07495211570854,57.14167870829234,0.5351379489849037,0.012046504066604907,0.11131061251156911
56,0.046544592580113085,1266,59.84551066629923,61.3486072879668,61.34836166990741,0.490521327014218,0.006037669205486273,0.06970715381149385
57,0.07513377724453162,598,61.31723246064707,62.02071281831485,59.60746012517029,0.5351170568561873,0.024885971205190368,0.18403291638074054
58,0.15912796919101746,531,62.455442275719406,61.29256368189901,57.54470527996166,0.647834274952919,0.04650000758216317,0.590286537344696
59,0.15137861290639873,457,63.758492964038105,63.65610849322155,62.28592982749732,0.6827133479212254,0.02094103392513583,0.270188711076976
60,0.22187665208006374,204,64.25319827058982,66.31676860243697,64.91978705294548,0.6323529411764706,0.037745119439565517,0.33082849615591897
>>>>>>> 13985eb (sync: prepare local for remote pull)
